iter	Passed	Remaining
0	7	35769
1	13	33220
2	19	32865
3	25	32290
4	31	31542
5	37	31423
6	43	31366
7	50	31342
8	56	31175
9	62	31063
10	68	30873
11	73	30740
12	79	30518
13	85	30562
14	91	30527
15	97	30473
16	103	30424
17	109	30436
18	115	30363
19	121	30255
20	127	30229
21	133	30253
22	141	30628
23	148	30709
24	154	30710
25	160	30707
26	166	30715
27	172	30702
28	179	30748
29	185	30757
30	191	30765
31	198	30797
32	204	30765
33	210	30797
34	217	30812
35	225	31120
36	232	31150
37	238	31087
38	245	31172
39	251	31228
40	258	31271
41	264	31259
42	271	31330
43	278	31324
44	284	31326
45	291	31365
46	297	31359
47	304	31395
48	311	31440
49	318	31501
50	324	31525
51	331	31525
52	338	31554
53	346	31723
54	354	31876
55	361	31945
56	368	31947
57	375	31987
58	381	31988
59	388	31995
60	395	32030
61	402	32047
62	409	32105
63	416	32119
64	423	32169
65	429	32139
66	436	32130
67	443	32156
68	450	32162
69	457	32191
70	464	32239
71	470	32236
72	477	32241
73	484	32241
74	490	32227
75	497	32224
76	505	32334
77	512	32336
78	519	32335
79	526	32359
80	533	32368
81	540	32402
82	547	32414
83	553	32414
84	561	32440
85	568	32460
86	574	32454
87	581	32479
88	588	32457
89	595	32469
90	602	32475
91	608	32483
92	615	32491
93	623	32515
94	629	32520
95	636	32539
96	643	32533
97	650	32559
98	657	32563
99	664	32571
100	672	32613
101	678	32570
102	685	32608
103	694	32707
104	701	32695
105	703	32458
106	710	32479
107	717	32500
108	724	32509
109	726	32280
110	733	32308
